Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
508575	532985	1979	1925	1596	1974	3518.4375	4172.125	4310	4567.5	2744.1875	1784.6875	Nubes
583445	495545	1762	1690	1463	1761.6875	2596	2885.9375	3010	3070.625	2263.875	1716	Urbano
533785	597275	1968	1920	1752	2073.1875	3067.25	3508.5	3287	3895.625	3156.5625	2077.0625	Agua
504275	547855	1927	1873	1504	2033.625	4399.375	5489.8125	5199	6033.3125	2979.3125	1748.0625	Nubes
592025	496765	1880	1953	1889	2160.1875	3262.625	3694.5625	3819	4050.1875	3213.4375	2349.5	Urbano
502425	533505	3693	3475	3249	3415.5	4395.25	4814.75	5015	5038.625	3845.1875	2820.875	Nubes
598075	503325	2886	2902	2975	2789.25	2937	3013.75	3019	3122.5625	3330.625	3054.6875	Urbano
510075	528585	1945	1883	1596	2021.875	3625.8125	4340.5625	4306	4834.5	2989.8125	1842.875	Nubes
504835	519425	2106	2097	1719	2245.0625	4267.625	5094.375	5253	5518.6875	3350.5625	1988.0625	Nubes
504335	528385	2224	2216	1882	2314.75	4130.0625	4923.5625	4773	5534.5625	3498.25	2069.625	Nubes
504845	518835	2174	2195	2190	2470.25	3510.9375	4028.75	3228	4385.8125	3197.9375	2448.5625	Nubes
553875	543735	1849	1798	1517	1799.5	2949.1875	3459.375	3311	3706.25	2334.5	1558	Vegetacion
506365	532745	3365	3330	3341	3676.3125	4798.125	5447.125	4908	5899.6875	4829.6875	3592.375	Nubes
512965	514145	2477	2512	2486	2542.875	3356.5	3786	3524	4079.8125	3204.125	2321.75	Nubes
503565	573465	1833	1830	1488	1977.9375	3855.8125	4764.8125	4730	5145.8125	2966.6875	1810.8125	Vegetacion
503155	528555	2059	2016	1671	2111.1875	3629.8125	4156.3125	4171	4439.125	2619.8125	1676.625	Nubes
603035	500775	1582	1479	1311	1519.5	2064.4375	2236.5	2274	2357.6875	1767	1409.4375	Urbano
550665	499165	1857	1776	1454	1825.25	3596.3125	4423.6875	4329	4785.875	2575.9375	1589.25	Vegetacion
510075	521565	2192	2213	1929	2409.8125	4009.9375	4696.6875	4552	5166.0625	4145.4375	2440.125	Nubes
565305	528575	4319	4328	4531	4946.5	5565.6875	5970.3125	5280	6328.75	4919.5625	4037.9375	Nubes
599745	498345	1872	1905	1777	2118.5	3024.3125	3305.4375	3181	3478.875	3045.4375	2326.3125	Urbano
564515	529845	7849	7726	8128	7959.1875	8152.4375	8460.25	8132	8572.3125	6492.4375	5099.4375	Nubes
506895	535935	1980	1904	1568	2039	3742.9375	4452.875	4233	4927.0625	2908.875	1745.9375	Nubes
504865	546795	1800	1578	1348	1416.625	1838.125	2022.875	1829	2092.1875	1428.6875	1169.4375	Nubes
551435	501385	1820	1748	1435	1837.5625	3515.5625	4436.625	4038	4713.5	2619.6875	1628	Vegetacion
501065	542685	2960	2893	2935	3788.5	5077.25	5778.375	5231	6203.4375	4785	3937.6875	Nubes
